trial, subject_code, session, quest_id, stimuli, response,  mu_estimated, sigma_estimated, saturation_estimated 
 0,2,1,2,-0.02327105,0,0.0698131769895554,0.100500000524335,0.0500000007450581
1,2,1,2,0.06981318,1,0.0232710614800453,0.100500000524335,0.0500000007450581
2,2,1,2,0.02327106,1,-0.0232710540294647,0.100500000524335,0.0500000007450581
3,2,1,2,-0.06981317,1,-0.0698131695389748,0.150250000762753,0.0500000007450581
4,2,1,2,-0.1163553,0,-0.0698131695389748,0.150250000762753,0.0500000007450581
5,2,1,2,-0.06981317,1,-0.0698131695389748,0.150250000762753,0.0500000007450581
6,2,1,2,-0.06981317,1,-0.116355285048485,0.100500000524335,0.0500000007450581
7,2,1,2,-0.1628974,1,-0.162897400557995,0.150250000762753,0.0500000007450581
8,2,1,2,-0.1628974,0,-0.116355285048485,0.150250000762753,0.0500000007450581
9,2,1,2,-0.1628974,0,-0.116355285048485,0.150250000762753,0.0500000007450581
10,2,1,2,-0.06981317,1,-0.116355285048485,0.150250000762753,0.0500000007450581
11,2,1,2,-0.1628974,1,-0.162897400557995,0.150250000762753,0.0500000007450581
12,2,1,2,-0.06981317,0,-0.116355285048485,0.150250000762753,0.0500000007450581
13,2,1,2,-0.2094395,0,-0.116355285048485,0.150250000762753,0.0500000007450581
14,2,1,2,-0.02327105,0,-0.116355285048485,0.150250000762753,0.0500000007450581
15,2,1,2,-0.02327105,0,-0.0698131695389748,0.150250000762753,0.0500000007450581
16,2,1,2,-0.02327105,0,-0.0698131695389748,0.150250000762753,0.0500000007450581
17,2,1,2,0.02327106,1,-0.0698131695389748,0.150250000762753,0.0500000007450581
18,2,1,2,-0.1163553,1,-0.0698131695389748,0.150250000762753,0.0500000007450581
19,2,1,2,-0.1628974,0,-0.0698131695389748,0.150250000762753,0.0500000007450581
20,2,1,2,0.02327106,1,-0.0698131695389748,0.150250000762753,0.0500000007450581
21,2,1,2,-0.1628974,0,-0.0698131695389748,0.150250000762753,0.0500000007450581
22,2,1,2,0.02327106,0,-0.0698131695389748,0.150250000762753,0.0500000007450581
23,2,1,2,0.02327106,0,-0.0232710540294647,0.150250000762753,0.0500000007450581
24,2,1,2,0.02327106,1,-0.0698131695389748,0.150250000762753,0.0500000007450581
25,2,1,2,0.02327106,1,-0.0698131695389748,0.150250000762753,0.0500000007450581
26,2,1,2,-0.1628974,0,-0.0698131695389748,0.150250000762753,0.0500000007450581
27,2,1,2,0.02327106,1,-0.0698131695389748,0.150250000762753,0.0500000007450581
28,2,1,2,-0.1628974,0,-0.0698131695389748,0.150250000762753,0.0500000007450581
29,2,1,2,0.06981318,0,-0.0232710540294647,0.150250000762753,0.0500000007450581
