trial, subject_code, session, quest_id, stimuli, response,  mu_estimated, sigma_estimated, saturation_estimated 
 0,3,10,3,-0.02327105,0,0.0698131769895554,0.100500000524335,0.0500000007450581
1,3,10,3,0.06981318,0,0.116355292499065,0.100500000524335,0.0500000007450581
2,3,10,3,0.1163553,0,0.162897408008575,0.100500000524335,0.0500000007450581
3,3,10,3,0.1628974,0,0.162897408008575,0.100500000524335,0.0500000007450581
4,3,10,3,0.1628974,0,0.209439523518085,0.050750000285916,0.0500000007450581
5,3,10,3,0.1628974,0,0.209439523518085,0.050750000285916,0.0500000007450581
6,3,10,3,0.1628974,0,0.209439523518085,0.050750000285916,0.0500000007450581
7,3,10,3,0.1628974,0,0.209439523518085,0.050750000285916,0.0500000007450581
8,3,10,3,0.1628974,0,0.209439523518085,0.050750000285916,0.0500000007450581
9,3,10,3,0.1628974,0,0.209439523518085,0.00100000004749745,0.0500000007450581
10,3,10,3,0.1628974,0,0.209439523518085,0.00100000004749745,0.0500000007450581
11,3,10,3,0.1628974,0,0.209439523518085,0.00100000004749745,0.0500000007450581
12,3,10,3,0.1628974,0,0.209439523518085,0.00100000004749745,0.0500000007450581
13,3,10,3,0.1628974,0,0.209439523518085,0.00100000004749745,0.0500000007450581
14,3,10,3,0.1628974,0,0.209439523518085,0.00100000004749745,0.0500000007450581
15,3,10,3,0.1628974,0,0.209439523518085,0.00100000004749745,0.0500000007450581
16,3,10,3,0.1628974,0,0.209439523518085,0.00100000004749745,0.0500000007450581
17,3,10,3,0.1628974,0,0.209439523518085,0.00100000004749745,0.0500000007450581
18,3,10,3,0.1628974,0,0.209439523518085,0.00100000004749745,0.0500000007450581
19,3,10,3,0.1628974,0,0.209439523518085,0.00100000004749745,0.0500000007450581
20,3,10,3,0.1628974,0,0.209439523518085,0.00100000004749745,0.0500000007450581
21,3,10,3,0.1628974,0,0.209439523518085,0.00100000004749745,0.0500000007450581
22,3,10,3,0.1628974,0,0.209439523518085,0.00100000004749745,0.0500000007450581
23,3,10,3,0.1628974,0,0.209439523518085,0.00100000004749745,0.0500000007450581
24,3,10,3,0.1628974,0,0.209439523518085,0.00100000004749745,0.0500000007450581
25,3,10,3,0.1628974,0,0.209439523518085,0.00100000004749745,0.0500000007450581
26,3,10,3,0.1628974,0,0.209439523518085,0.00100000004749745,0.0500000007450581
27,3,10,3,0.1628974,0,0.209439523518085,0.00100000004749745,0.0500000007450581
28,3,10,3,0.1628974,0,0.209439523518085,0.00100000004749745,0.0500000007450581
29,3,10,3,0.1628974,0,0.209439523518085,0.00100000004749745,0.0500000007450581
